ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"192.12.113.238","elite","AS266144","BR","Rosana Ferreira da Silva Multimidia ME","161","Rosana Ferreira da Silva Multimidia ME","4145","socks4","389","1","2023-01-15T11:07:46.650Z","14","117","815"
"91.226.51.200","elite","AS49785","PL","P.P.H.U AWIST","130","P.P.H.U AWIST","4145","socks4","1068","1","2023-01-15T11:07:46.105Z","96","806","839"
"188.241.45.142","elite","AS199335","GB","Talk Straight Ltd.","19","N/A","2021","socks5","922","1","2023-01-15T11:07:46.647Z","100","835","837"
"103.89.62.65","elite","AS58972","IN","Bhomika Network PVT LTD","183","Bhomika Network Pvt Ltd","4153","socks4","1058","1","2023-01-15T11:07:46.105Z","99","732","738"
"31.209.96.173","elite","AS197792","CY","Multimax Iletisim Limited","71","N/A","51688","socks4","932","1","2023-01-15T11:07:46.646Z","100","835","837"
"124.41.228.175","elite","AS17501","NP","WorldLink Communications","192","N/A","5678","socks4","1037","1","2023-01-15T11:07:46.361Z","100","820","823"
"124.105.55.176","elite","AS9299","PH","Philippine Long Distance Telephone Co.","267","Philippine Long Distance Telephone Co","30906","socks4","314","1","2023-01-15T11:07:46.977Z","100","838","838"
"110.77.184.124","elite","AS131090","TH","CAT-BB","184","N/A","4145","socks4","574","1","2023-01-15T11:07:46.648Z","85","645","762"
"197.234.13.90","elite","AS36902","SC","Intelvision","177","Intelvision Ltd","4145","socks4","1082","1","2023-01-15T11:07:46.104Z","99","772","777"
"178.253.212.118","elite","AS28964","RS","Orion Telekom users in Ugrinovci","43","N/A","1080","socks4","757","1","2023-01-15T11:07:46.376Z","100","834","838"
"117.84.165.182","elite","AS4134","CN","Chinanet","180","Chinanet JS","1080","socks5","346","1","2023-01-15T11:07:45.037Z","67","486","721"
"114.5.196.210","elite","AS4761","ID","PT. INDOSAT Tbk","235","PT. INDOSAT Tbk","1081","socks4","1008","1","2023-01-15T11:07:45.915Z","43","326","750"
"183.89.117.134","elite","AS45629","TH","Triple T Broadband Public Company Limited","175","Triple T Broadband Public Company Limited","4145","socks4","925","1","2023-01-15T11:07:45.034Z","100","831","834"
"103.217.249.250","elite","AS135185","IN","Atoz Infolink Pvt. LTD","205","Atoz Infolink Pvt. Ltd.","5678","socks4","1012","1","2023-01-15T11:07:45.404Z","100","837","840"
"104.16.108.204","elite","AS13335","CA","Cloudflare, Inc.","1","Cloudflare, Inc.","80","socks4","329","1","2023-01-15T11:07:45.035Z","100","786","787"
"154.64.217.128","elite","AS399291","PR","OSNET Wireless","153","OSNet Wireless","36468","socks4","975","1","2023-01-15T11:07:45.916Z","96","800","837"
"43.154.49.67","elite","AS132203","HK","Shenzhen Tencent Computer Systems Company Limited","242","Tencent Cloud Computing","9999","socks5","327","1","2023-01-15T11:07:45.202Z","100","749","751"
"103.76.190.81","elite","AS135758","IN","Alacriy Net System Service Private Limited","165","Alacriy Net System Service Private Limited","4153","socks4","964","1","2023-01-15T11:07:45.405Z","99","771","776"
"103.56.205.79","elite","AS58477","ID","Argon Data Communication","259","N/A","5678","socks4","988","1","2023-01-15T11:07:45.916Z","87","629","724"
"79.101.106.74","elite","AS8400","RS","TELEKOM-SRBIJA","39","N/A","33608","socks4","1045","1","2023-01-15T11:07:45.912Z","100","838","839"
"110.77.232.172","elite","AS131090","TH","CAT Telecom Public Company Limited","199","CAT BBviaOnnet","4145","socks4","973","1","2023-01-15T11:07:45.405Z","96","801","837"
"118.174.21.117","elite","AS131293","TH","TOT Public Company Limited","211","TOT Public Company Limited","13629","socks4","934","1","2023-01-15T11:07:45.033Z","87","727","837"
"200.152.107.104","elite","AS21571","BR","MLS Wireless S/A","210","MLS Projetos de Informatica","1080","socks5","337","1","2023-01-15T11:07:45.040Z","97","764","785"
"112.85.131.187","elite","AS4837","CN","China Unicom CHINA169 Jiangsu Province Network","197","N/A","9999","socks4","1037","1","2023-01-15T11:07:45.913Z","32","252","800"
"27.123.1.36","elite","AS45706","ID","PT Tele Globe Global","164","N/A","4153","socks4","997","1","2023-01-15T11:07:45.915Z","100","824","827"
"221.224.213.158","elite","AS4134","CN","CHINANET jiangsu province network","210","N/A","1080","socks4","942","1","2023-01-15T11:07:45.032Z","95","765","807"
"181.209.106.190","elite","AS52361","AR","ARSAT - Empresa Argentina de Soluciones Satelitales S.A","235","AYD.com S.R.L","1080","socks4","561","1","2023-01-15T11:07:45.946Z","99","830","838"
"175.100.47.191","elite","AS38623","KH","VIETTEL (CAMBODIA) PTE., LTD","227","Viettel (cambodia) Pte., Ltd.","5678","socks4","1020","1","2023-01-15T11:07:45.914Z","93","767","827"
"103.26.209.206","elite","AS18103","ID","Neuviz","347","N/A","11080","socks4","951","1","2023-01-15T11:07:45.031Z","99","716","723"
"188.255.244.45","elite","AS52116","RS","Orion Telekom ISP IP Network in Subotica","36","Orion Telekom Tim d.o.o.Beograd","1080","socks4","1068","1","2023-01-15T11:07:45.911Z","100","814","814"
"103.70.159.155","elite","AS133720","IN","speednet","119","N/A","5678","socks4","1061","1","2023-01-15T11:07:45.912Z","100","790","793"
"185.125.253.218","elite","AS49100","IR","PTE","110","N/A","1080","socks4","1032","1","2023-01-15T11:07:45.403Z","99","732","739"
"117.186.40.30","elite","AS24400","CN","China Mobile communications corporation","284","China Mobile","1080","socks4","928","1","2023-01-15T11:07:44.859Z","98","782","800"
"83.168.84.86","elite","AS31304","PL","ESPOL-FH","36","N/A","4153","socks4","1070","1","2023-01-15T11:07:44.499Z","99","829","838"
"62.85.224.217","elite","AS8968","IT","BT Italia S.p.A.","45","Molitel SRL","5678","socks4","1061","1","2023-01-15T11:07:44.500Z","99","833","838"
"212.129.54.138","anonymous","AS12876","FR","Online S.A.S.","0","ONLINE","3128","http","1050","2844","2023-01-15T11:07:44.858Z","100","718","718"
"77.89.228.162","elite","AS25454","MD","Orange Moldova Network","54","N/A","4153","socks4","923","1","2023-01-15T11:07:44.294Z","99","772","776"
"203.6.226.172","elite","AS58519","CN","Cloud Computing Corporation","246","Chinanet GD","8888","socks4","850","1","2023-01-15T11:07:44.297Z","43","349","818"
"31.11.172.54","elite","AS29314","PL","Vectra S.A. BUSINESS P2P CONNECTIONS","50","Vectra S.A","4153","socks4","945","1","2023-01-15T11:07:44.858Z","100","817","818"
"193.3.40.250","anonymous","AS44533","UA","Alexey Geiner","82","Inna Grigorevna Khoruzhaya","8080","http","1107","346","2023-01-15T11:07:44.461Z","100","807","807"
"131.196.180.1","elite","AS265758","AR","Cooperativa De Obras Y Servicios Publicos De Despenaderos Limitada","225","Cooperativa De Obras Y Servicios Publicos De Despenaderos Limitada","4153","socks4","997","1","2023-01-15T11:07:44.016Z","100","837","839"
"103.12.246.41","elite","AS134941","IN","Instant Cable Network PVT LTD","143","Instant Cable Network PVT LTD","4145","socks4","932","1","2023-01-15T11:07:44.293Z","100","797","799"
"118.174.219.165","elite","AS23969","TH","TOT Public Company Limited","163","TOT Public Company Limited","4153","socks4","550","1","2023-01-15T11:07:44.734Z","95","782","827"
"51.75.83.94","elite","AS16276","DE","OVH SAS","11","mizbandadehpardazi Mobinh","1080","socks5","1053","1","2023-01-15T11:07:44.461Z","91","761","839"
"114.7.97.193","elite","AS4761","ID","PT. INDOSAT Tbk","200","PT. INDOSAT Tbk","4145","socks4","915","1","2023-01-15T11:07:44.294Z","93","782","838"
"170.254.255.248","elite","AS52584","BR","Connect Fibra","209","Connect Fibra","45816","socks4","913","1","2023-01-15T11:07:44.860Z","96","766","795"
"185.161.186.83","elite","AS43618","ES","Inforcelra SLU","72","Inforcelra SLU","54321","socks4","907","1","2023-01-15T11:07:44.446Z","100","839","839"
"124.121.203.73","elite","AS17552","TH","TRUEBB","203","N/A","8080","socks4","1075","1","2023-01-15T11:07:44.313Z","18","143","796"
"82.157.234.235","elite","AS45090","CN","Shenzhen Tencent Computer Systems Company Limited","158","Tencent Cloud Computing (Beijing) Co., Ltd","1080","socks4","1092","1","2023-01-15T11:07:44.312Z","95","773","811"
"105.213.145.93","elite","AS16637","ZA","MTN SA","178","MTN SA","5678","socks4","917","1","2023-01-15T11:07:44.446Z","98","795","812"
"38.127.172.161","elite","AS174","US","Cogent Communications","82","Torlandia Trading SRL","46656","socks4","883","1","2023-01-15T11:07:44.608Z","100","762","764"
"113.74.26.116","elite","AS4134","CN","Chinanet","212","Chinanet GD","4145","socks4","865","1","2023-01-15T11:07:44.296Z","92","768","838"
"38.127.172.186","elite","AS174","US","Cogent Communications","79","Torlandia Trading SRL","55994","socks4","363","1","2023-01-15T11:07:44.867Z","100","748","750"
"103.131.19.141","elite","AS138089","ID","Global Media Inti Semesta","193","N/A","8080","socks4","512","1","2023-01-15T11:07:44.737Z","88","693","786"
"103.105.40.65","elite","AS137143","IN","Minnal Digital Network Private Limited","156","Minnal Digital Network Private Limited","4145","socks4","885","1","2023-01-15T11:07:44.446Z","100","837","838"
"177.105.68.164","elite","AS262637","BR","Netprimus Tecnologia Ltda","188","Netprimus Tecnologia Ltda","4153","socks4","822","1","2023-01-15T11:07:44.448Z","99","823","828"
"188.255.245.177","elite","AS52116","RS","Orion Telekom ISP IP Network in Subotica","37","Orion Telekom Tim d.o.o.Beograd","1080","socks4","907","1","2023-01-15T11:07:44.295Z","100","837","838"
"185.186.18.20","elite","AS57723","PL","Media Telekom Sp. z o.o.","48","Media Telekom Sp. z o.o.","5678","socks4","892","1","2023-01-15T11:07:44.605Z","100","795","797"
"182.23.107.210","anonymous","AS4800","ID","PT Aplikanusa Lintasarta","192","N/A","3128","http","851","571","2023-01-15T11:07:44.449Z","99","709","719"
"61.247.25.57","elite","AS23700","ID","Linknet-Fastnet ASN","198","FastNet","4145","socks4","1013","1","2023-01-15T11:07:44.606Z","100","721","724"
"112.87.5.245","elite","AS4837","CN","China Unicom CHINA169 Jiangsu Province Network","204","N/A","38801","socks4","989","1","2023-01-15T11:07:43.684Z","56","467","838"
"186.251.255.209","elite","AS267513","BR","Seanet Telecom Carazinho Eireli","218","Seanet Telecom Carazinho Eireli","31337","socks4","867","1","2023-01-15T11:07:43.998Z","100","823","825"
"45.56.112.189","elite","AS63949","US","Linode, LLC","97","Linode","7497","socks5","1020","1","2023-01-15T11:07:43.683Z","100","774","776"
"121.132.108.65","elite","AS4766","KR","Korea Telecom","207","N/A","5156","socks4","910","1","2023-01-15T11:07:43.315Z","99","777","781"
"75.119.202.21","elite","AS26347","US","New Dream Network, LLC","151","New Dream Network, LLC","15745","socks5","858","1","2023-01-15T11:07:44.000Z","100","820","820"
"45.238.57.1","elite","AS264668","EC","Nedetel S.A.","158","Instalacion De Sistemas EN Redes Insysred S.A","3629","socks4","961","1","2023-01-15T11:07:43.312Z","100","835","838"
"103.215.207.85","anonymous","AS134004","IN","Gurudev Communication","149","N/A","82","http","936","455","2023-01-15T11:07:43.622Z","92","734","795"
"189.201.191.67","elite","AS28438","MX","ATC HOLDING FIBRA MEXICO, S. DE R.L. DE C.V.","141","ATC HOLDING FIBRA MEXICO, S. DE R.L. DE C.V","4145","socks4","913","1","2023-01-15T11:07:43.014Z","100","796","797"
"45.7.177.187","elite","AS266626","BR","Litoral Telecom","196","Litoral Telecom","39867","socks4","861","1","2023-01-15T11:07:43.016Z","97","810","838"
"31.170.17.141","elite","AS42099","LV","DNET ITRisinajumi Ltd.","42","Sia Nano IT","4153","socks4","902","1","2023-01-15T11:07:43.015Z","100","836","838"
"177.223.48.126","elite","AS263500","BR","Star Telecom S/A","221","Star Telecom S/A","52104","socks4","841","1","2023-01-15T11:07:43.017Z","99","810","817"
"186.46.166.50","elite","AS28006","EC","Corporacion Nacional De Telecomunicaciones - CNT EP","177","Corporacion Nacional De Telecomunicaciones - CNT EP","5678","socks4","981","1","2023-01-15T11:07:43.685Z","100","793","795"
"79.175.134.30","elite","AS25184","IR","AFranet Co","92","Afranet","808","http","881","640","2023-01-15T11:07:43.621Z","98","701","718"
"36.37.107.210","elite","AS4800","ID","LINTASARTA","206","N/A","4153","socks4","925","1","2023-01-15T11:07:43.315Z","92","660","720"
"200.141.204.90","elite","AS7738","BR","V tal","453","Telemar Norte Leste S.A","4153","socks4","977","1","2023-01-15T11:07:43.624Z","46","331","721"
"45.5.119.86","elite","AS265684","GT","Inversiones Grajeda Andrade S.A","135","Infinitum S.A","4153","socks4","924","1","2023-01-15T11:07:42.716Z","98","819","838"
"198.98.49.197","elite","AS53667","US","FranTech Solutions","73","FranTech Solutions","30346","socks4","914","1","2023-01-15T11:07:42.405Z","100","802","802"
"36.93.157.49","elite","AS7713","ID","Telekomunikasi Indonesia","203","HSI Indihome","5678","socks4","932","1","2023-01-15T11:07:42.716Z","93","740","796"
"178.249.218.34","elite","AS44219","IT","ICCOM s.r.l.","37","N/A","5678","socks4","1034","1","2023-01-15T11:07:42.108Z","99","776","783"
"45.227.92.213","elite","AS266653","AR","Andros-net Comunicaciones S.R.L.","220","Andros-net Comunicaciones S.R.L","8080","socks4","891","1","2023-01-15T11:07:42.408Z","80","670","839"
"66.33.209.193","elite","AS26347","US","New Dream Network, LLC","79","New Dream Network, LLC","58418","socks5","1049","1","2023-01-15T11:07:42.385Z","100","829","829"
"38.127.172.28","elite","AS174","US","Cogent Communications","79","Torlandia Trading SRL","11537","socks4","887","1","2023-01-15T11:07:42.131Z","100","778","779"
"190.103.28.76","elite","AS264628","VE","CORPORACION FIBEX TELECOM, C.A.","152","CORPORACION FIBEX TELECOM, C.A","4145","socks4","873","1","2023-01-15T11:07:42.719Z","100","802","803"
"203.28.8.141","elite","AS209242","CY","Cloudflare London, LLC","1","Lachtaristo Holdings Limited","80","socks5","949","1","2023-01-15T11:07:42.731Z","100","817","818"
"103.210.28.66","elite","AS134922","IN","R G TECHNOSOLUTIONS PVT LTD","147","R G Technosolutions PVT LTD","31433","socks4","897","1","2023-01-15T11:07:42.131Z","99","796","801"
"103.240.33.177","elite","AS132923","IN","Vihaan Telecommunication Pvt. Ltd.","139","Vihaan","8291","socks4","941","1","2023-01-15T11:07:42.715Z","99","828","838"
"84.22.45.175","elite","AS33983","AL","Artmotion Sh.P.K.","36","Artmotion","1080","socks4","940","1","2023-01-15T11:07:42.732Z","100","833","837"
"186.249.240.146","elite","AS263027","BR","R. F. COVRE - INFORMATICA","197","R. F. COVRE - INFORMATICA","50733","socks4","1041","1","2023-01-15T11:07:42.386Z","100","825","827"
"110.78.148.198","elite","AS131090","TH","CAT-BB","190","N/A","4145","socks4","890","1","2023-01-15T11:07:42.718Z","87","653","750"
"172.98.20.80","elite","AS7018","US","AT&T Services, Inc.","85","Bunny Technology LLC","10001","socks4","931","1","2023-01-15T11:07:42.738Z","97","757","780"
"213.230.111.76","elite","AS8193","UZ","\"Uzbektelekom\" Joint Stock Company","115","Uztelecom Static","4145","socks4","1058","1","2023-01-15T11:07:42.384Z","100","834","837"
"65.21.150.198","elite","AS24940","FI","Hetzner Online GmbH","38","Hetzner","3068","socks4","905","1","2023-01-15T11:07:42.130Z","100","839","839"
"45.112.127.140","anonymous","AS58369","ID","FIBERNET","165","N/A","3179","http","977","831","2023-01-15T11:07:42.409Z","99","719","723"
"207.180.251.253","elite","AS51167","DE","Contabo GmbH","16","Contabo GmbH","12581","socks5","896","1","2023-01-15T11:07:42.741Z","100","723","724"
